# pos.x pos.y pos.z volume rho vel.x vel.y vel.z p a mu k[0] mu_t k_t S tke omega massf[0] e[0] T[0] 
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.247018e-07 2.797455e-01 6.202075e+02 6.050876e-01 0.000000e+00 1.033946e+04 2.274855e+02 8.902752e-06 1.129578e-02 1.391336e-03 1.570681e+00 0.000000e+00 1.216484e+03 2.446597e+05 1.000000e+00 9.241311e+04 1.287702e+02
0.000000e+00 0.000000e+00 1.006318e-03 1.244544e-07 2.804462e-01 6.206625e+02 5.868790e-01 0.000000e+00 1.034435e+04 2.272549e+02 8.885382e-06 1.127058e-02 1.387267e-03 1.566089e+00 0.000000e+00 1.212343e+03 2.451508e+05 1.000000e+00 9.222594e+04 1.285094e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.337320e-07 2.872621e-01 6.258698e+02 6.769221e-01 0.000000e+00 1.034663e+04 2.245674e+02 8.683406e-06 1.097829e-02 1.443382e-03 1.629437e+00 0.000000e+00 1.147346e+03 2.283786e+05 1.000000e+00 9.005749e+04 1.254879e+02
0.000000e+00 0.000000e+00 1.082752e-03 1.334666e-07 2.880282e-01 6.263399e+02 6.574722e-01 0.000000e+00 1.035165e+04 2.243232e+02 8.665106e-06 1.095186e-02 1.438245e-03 1.623636e+00 0.000000e+00 1.142724e+03 2.288763e+05 1.000000e+00 8.986177e+04 1.252151e+02
